segment,n,R2,adj_R2,const_coef,const_p,HH_coef,HH_p,TC_coef,TC_p,DU_coef,DU_p,DB_coef,DB_p,CT_coef,CT_p
VIP,69,0.2299,0.1688,1.5573,0.1212,-0.0113,0.9142,0.2012,0.0547,-0.0031,0.9751,0.3033,0.0061,0.1637,0.0915
Loyal,128,0.2055,0.1729,2.1208,0.0,0.0423,0.3849,0.2791,0.0,0.075,0.189,0.0417,0.4675,0.0474,0.378
Potential,250,0.3473,0.3339,0.6993,0.0254,0.1394,0.0009,0.1504,0.0001,0.3174,0.0,0.0946,0.0169,0.1175,0.0029
AtRisk,153,0.3316,0.3088,0.2693,0.5297,0.3242,0.0,0.2321,0.0,0.2446,0.0,0.0933,0.0772,0.0487,0.3005
